iso3,country_name,income_level,ilostat_year,exposed_SEX_F,exposed_SEX_M,sub_SEX_F,sub_SEX_M,both_SEX_F,both_SEX_M,aug_SEX_F,aug_SEX_M,matched_weight_SEX_F,matched_weight_SEX_M,matched_codes_SEX_F,matched_codes_SEX_M,exposed_gap_pp,sub_gap_pp,both_gap_pp,aug_gap_pp,domain,unit_note
ITA,Italy,High income,2024,0.5900283828238218,0.5815316806416816,0.30048481544668093,0.26444584676084837,0.2567378278670792,0.2828323744538287,0.032805739510061806,0.03425345942700458,1.0000000000000002,0.9999999999999999,42,42,0.8496702182140159,3.603896868583256,-2.609454658674948,-0.14477199169427718,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
JOR,Jordan,Lower middle income,2023,0.4802191847336282,0.4615706648862416,0.18419238875628827,0.17948023004463787,0.23334823411086172,0.23788208809758787,0.06267856186647813,0.04420834674401594,0.9997834748883944,0.9956159469655317,27,35,1.864851984738658,0.47121587116503993,-0.45338539867261496,1.847021512246219,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
JPN,Japan,High income,2023,0.6143316306613731,0.6429163824763363,0.3345067791571381,0.3234046884673831,0.2491380661379205,0.287375222521247,0.030686785366314456,0.03213647148770641,0.9999999999999999,1,22,22,-2.8584751814963227,1.110209068975504,-3.8237156383326476,-0.14496861213919543,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
KEN,Kenya,Lower middle income,2022,0.31162725699257604,0.3152939164532067,0.09700705437118928,0.11197331796379305,0.19404309522957525,0.18516249784502145,0.02057710739181151,0.018158100644392106,0.9622691779122409,0.97938321590171,26,32,-0.36666594606306613,-1.4966263592603766,0.8880597384553796,0.24190067474194055,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
KGZ,Kyrgyz Republic,Lower middle income,2023,0.37286094464898917,0.33671345434540706,0.15401559787618935,0.1497018213535903,0.18470903047676862,0.15956397608359468,0.03413631629603111,0.027447656908222193,0.9957747048957153,0.9687591640313309,37,39,3.614749030358211,0.4313776522599039,2.514505439317394,0.6688659387808916,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
KHM,Cambodia,Lower middle income,2023,0.3310800749535661,0.2803220592682407,0.14789947719744181,0.12023086262863202,0.16739156904116653,0.144428515644975,0.01578902871495781,0.015662680994633672,0.8858026453859441,0.9128584687520519,38,40,5.0758015685325395,2.7668614568809797,2.2963053396191535,0.012634772032413602,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
LAO,Lao PDR,Lower middle income,2022,0.22644821555708403,0.20223662887478522,0.09983267061612547,0.08443468028339092,0.10938423624917923,0.09970077838204502,0.017231308691779385,0.018101170209349284,0.6740322922228421,0.7327501531831765,20,23,2.421158668229881,1.5397990332734548,0.9683457867134204,-0.08698615175698997,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
LKA,Sri Lanka,Lower middle income,2024,0.43210687889880467,0.3940358290878234,0.18375168420928756,0.16416949161598696,0.21018933598001258,0.19553239858572904,0.038165858709504556,0.034333938886107446,1.0000000000000004,0.9995052158495855,38,40,3.8071049810981252,1.9582192593300602,1.4656937394283531,0.3831919823397111,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
MDG,Madagascar,Low income,2022,0.10907566649183006,0.09712595933844043,0.057809671123812884,0.04655444236834545,0.04825551901038388,0.04740346271144551,0.003010476357633342,0.0031680542586494764,0.7180881956501894,0.794145056126477,24,30,1.1949707153389637,1.125522875546743,0.08520562989383709,-0.01575779010161344,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
MEX,Mexico,Upper middle income,2024,0.5571191884523272,0.5157901918339559,0.2922867477918974,0.2525338904648101,0.24613090146738026,0.24302405488564052,0.018701539193049736,0.020232246483505335,0.9952271492107067,0.9715241530166344,41,42,4.132899661837131,3.975285732708728,0.3106846581739736,-0.15307072904555996,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
MLI,Mali,Low income,2022,0.11766789661038068,0.0993663911439325,0.06938721181452594,0.05472432633626442,0.04796438639522848,0.044044477459876726,3.1629840062629317e-4,5.975873477913641e-4,0.7570710211067886,0.6854951546994678,22,40,1.830150546644818,1.4662885478261514,0.3919908935351754,-0.02812889471650709,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
MMR,Myanmar,Lower middle income,2020,0.27079932668387563,0.2151697985819453,0.14838991500480006,0.10734261710056148,0.11866362489138545,0.10524380172095708,0.0037457867876900335,0.0025833797604267335,0.9643711518764428,0.9803796203491976,35,39,5.562952810193034,4.104729790423859,1.3419823170428362,0.11624070272633,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
MOZ,Mozambique,Low income,2022,0.20414146890127952,0.17263871760468436,0.12719456402024776,0.09688708207838262,0.07453035432948543,0.07289849750322316,0.002416550551546303,0.0028531380230786656,0.18522707920149206,0.4100398471110759,35,41,3.150275129659516,3.030748194186514,0.1631856826262268,-0.04365874715323626,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
